#indacator:tab
#html:false
FG	[U' L U, S']
FH	[S L: [S', L2]]
FJ	[E, R U2 R']
FK	[Rw U': [Rw' E Rw, U']]
FN	[Uw' R' U' R': [E', R2]]
FO	[R E R': [S, R2]]
FP	[E R': [S, R2]]
FR	[U: [E', L U' L']]
FS	[Rw' U: [Rw' E Rw, U]]
FT	[R': [R' E R, U2]]
FU	[R' F': [F', R S R']]
FV	[U Uw R: [E', R2]]
FW	[Lw Uw' L: [E', L2]]
FX	[E L: [E', L2]]
GF	[S', U' L U]
GH	[U L' U', S']
GJ	[L F2 L', S]
GK	[L F L', S]
GL	[L' U: [L U' L', E']]
GN	[S', R D2 R']
GO	[U' R' F R': [S', R2]]
GP	[S', R' D2 R]
GR	[L U': [L' U L, E]]
GS	[S', R D R']
GT	[R' U2 R, S]
GU	[S', L' F L]
GV	[U': [L' F' L, S]]
GW	[S', L B' L']
HF	[S L': [S', L2]]
HG	[U L' U', S']
HJ	[R: [R E' R', U2]]
HK	[Rw U': [Rw E' Rw', U']]
HL	[U': [E, L' U L]]
HN	[E' R: [S, R2]]
HO	[U' R' F: [R2, E']]
HP	[Uw' R U' R': [E, R2]]
HS	[Rw' U: [Rw E' Rw', U]]
HT	[E', R' U2 R]
HU	[Fw L': [S', L2]]
HV	[U' Uw' R': [E, R2]]
HW	[Lw U: [U, R' E R]]
HX	[E' L': [E, L2]]
JF	[R U2 R', E]
JG	[S, L F2 L']
JH	[R: [U2, R E' R']]
JK	[U': [M', U' R U]]
JL	[R' U2 R: [E, R2]]
JN	[R U2 R', E']
JO	[Rw: [L E' L', U2]]
JR	[R' U2 R': [E', R2]]
JS	[U: [M, U R U']]
JT	[R': [S, R2]]
JU	[R U: [M', U2]]
JV	[Uw2 R: [E', R2]]
JW	[R U': [M, U2]]
JX	[L: [E', L2]]
KF	[Rw U': [U', Rw' E Rw]]
KG	[S, L F L']
KH	[Rw U': [U', Rw E' Rw']]
KJ	[U': [U' R U, M']]
KL	[L', U' M' U]
KN	[M': [L' E L, U]]
KO	[Rw: [L E' L', U]]
KP	[M': [R S' R', U]]
KR	[L, U' M' U]
KS	[M': [U', M U2 M]]
KT	[U': [U' R' U, M']]
KV	[R' F' R': [S, R2]]
KW	[Lw': [U L U', M']]
KX	[S U: [M', U2]]
LG	[L' U: [E', L U' L']]
LH	[U': [L' U L, E]]
LJ	[R' U2 R': [E, R2]]
LK	[U' M' U, L']
LN	[Uw' L: [L E' L', U]]
LO	[D': [U' M' U, L']]
LP	[U: [L' U' L, E']]
LR	[U2 L: [S', L2]]
LS	[U M U', L']
LT	[R U2 R': [E, R2]]
LU	[U M2 U', L']
LV	[U2 R': [E, R2]]
LW	[U' M2 U, L']
LX	[E2 L': [E, L2]]
NF	[Uw' R' U' R: [E', R2]]
NG	[R D2 R', S']
NH	[E' R': [S, R2]]
NJ	[E', R U2 R']
NK	[M': [U, L' E L]]
NL	[Uw' L: [U, L E' L']]
NO	[R': [U M U', R']]
